Date;GID;Pos;Name;Starter;FD Pts;FD Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20160309;4652;PF;Noel, Nerlens;1;38.8;$6,100;phi;H;hou;104;118;32.22;17pt 9rb 4as 2st 2bl 3to 7-17fg 3-4ft
20160309;4380;PF;Thompson, Tristan;1;36;$4,600;cle;A;sac;120;111;37.35;18pt 15rb 1st 2to 6-8fg 6-8ft
20160309;3857;SF;Gay, Rudy;1;35.7;$6,600;sac;H;cle;111;120;41.33;19pt 6rb 3as 3st 1to 2trey 7-13fg 3-4ft
20160309;4581;PF;Green, JaMychal;1;35.6;$4,600;mem;A;bos;96;116;36.92;17pt 13rb 2as 2bl 4to 6-12fg 5-6ft
20160309;4074;PF;Love, Kevin;1;35.5;$6,800;cle;A;sac;120;111;34.97;17pt 10rb 3as 2st 1bl 4to 2trey 4-13fg 7-7ft
20160309;3510;SF;Anthony, Carmelo;1;34.9;$9,100;nyk;A;pho;128;97;31.33;23pt 7rb 1as 1st 1bl 2to 3trey 9-15fg 2-3ft
20160309;4412;PF;Harris, Tobias;1;34.9;$5,800;det;A;dal;102;96;39.17;19pt 7rb 5as 1st 2to 2trey 6-11fg 5-5ft
20160309;2448;SF;Carter, Vince;;34.7;$3,700;mem;A;bos;96;116;27.33;17pt 6rb 3as 3st 1bl 2to 4trey 5-9fg 3-4ft
20160309;4407;SF;Morris, Marcus;1;32.4;$5,000;det;A;dal;102;96;39.33;20pt 7rb 2as 1st 1to 2trey 8-16fg 2-3ft
20160309;4318;SF;Turner, Evan;;31.8;$5,700;bos;H;mem;116;96;29.98;16pt 4rb 8as 1st 3to 1trey 6-10fg 3-4ft
20160309;3992;SF;Green, Jeff;1;31.4;$4,800;lac;A;okc;108;120;25.70;23pt 2rb 2st 1bl 3trey 10-13fg
